id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
PedrMonteiro;Pedro Monteiro;pedrmonteiro@li3.pt;(351) 926898153;1953/07/25;M;XI519995;PT;Praça Micael Lourenço, 1329482-656 Funchal;2015/07/01 12:31:25;credit_card;active
FilAraújo;Filipa Araújo;filaraújo@li3.pt;(351) 921 156 307;1952/05/12;F;GD356232;PT;R. de Andrade, 2834569-237 Porto Santo;2012/05/24 15:44:26;credit_card;active
ErTavares;Erica Tavares;ertavares@li3.pt;+351935280584;1980/11/17;F;SP340301;PT;Largo da Sé, S/N3714-219 Estarreja;2016/07/18 00:48:03;cash;active
SarMota;Sara Mota;sarmota@li3.pt;(351) 933045269;1992/11/28;F;VU738179;PT;Alameda de Pinheiro, 292020-702 Vila Nova de Gaia;2010/06/14 07:41:02;debit_card;active
Juliana-CHenriques;Juliana-Catarina Henriques;juliana-chenriques@li3.pt;+351967568779;1952/04/23;F;WN310171;PT;R. de Vieira, 910792-012 Miranda do Douro;2019/01/03 16:19:30;debit_card;active
CarloMonteiro;Carlota Monteiro;carlomonteiro@li3.pt;(351) 204329757;1951/06/22;F;EJ626607;PT;Travessa Branco, 727045-918 Peso da Régua;2020/11/15 00:40:00;credit_card;ACTIVE
LetíciCunha;Letícia Cunha;letícicunha@li3.pt;918 046 223;1981/10/17;F;EM641943;PT;Rua Sá, 978097-310 Silves;2016/01/25 09:35:43;credit_card;active
IvLopes;Ivan Lopes;ivlopes@li3.pt;(351) 962 867 988;1955/10/10;M;AS804859;PT;Avenida Erika Pinho, 74156-130 Setúbal;2014/03/06 04:22:30;credit_card;active
AlNascimento;Alexandre Nascimento;alnascimento@li3.pt;935674727;1970/12/07;M;ZR925153;PT;R. Diogo Azevedo, 386037-049 Vila Franca de Xira;2012/02/01 23:23:20;credit_card;active
AMagalhães1014;Alexandra Magalhães;amagalhães1014@li3.pt;(351) 913988901;2003/02/14;F;LX506166;PT;Av Gabriela Fernandes, 360921-617 Quarteira;2012/03/30 09:30:52;cash;active
FredMachado;Frederico Machado;fredmachado@li3.pt;965365359;1980/04/09;M;KP853711;PT;Avenida do Ouro, 8640867-616 Felgueiras;2017/09/09 15:58:12;debit_card;active
Lorena-Ramos;Lorena-Caetana Ramos;lorena-ramos@li3.pt;914958731;1989/10/26;F;GE289780;PT;R. de Ferreira, 3910532-406 Porto;2011/02/05 06:30:37;credit_card;active
MafaGonçalves1683;Mafalda Gonçalves;mafagonçalves1683atli3.pt;+351927443357;1958/03/22;F;SI093616;PT;Largo Benedita Machado, 520338-365 Paredes;2014/12/27 06:45:59;debit_card;active
FilMoura1220;Filipe Moura;filmoura1220@li3.pt;(351) 911 256 267;1988/04/06;M;SE938892;PT;R. do Monte Cativo, 687785-729 Fátima;2020/12/30 06:06:52;cash;active
IrCarvalho;Irina Carvalho;ircarvalho@li3.pt;+351266661208;1957/03/14;F;UB548268;PT;Praça do Barredo, 543080-569 Fundão;2016/01/15 05:49:13;cash;active
MarCosta1713;Mariana Costa;marcosta1713@li3.pt;(351) 270 919 468;1969/12/29;F;WC801357;PT;Avenida Valente, 823745-766 Esmoriz;2013/03/14 03:26:08;cash;active
FraPaiva2012;Francisca-Carminho Paiva;frapaiva2012@li3.pt;936 693 128;2005/08/08;F;RS296327;PT;Travessa Vicente Neves, 288920-735 Sines;2010/04/03 08:55:17;cash;active
LourenMoura102;Lourenço Moura;lourenmoura102@li3.pt;(351) 962 248 670;1991/05/11;M;MN520936;PT;Alameda Campos, 1580114-879 Castelo Branco;2010/02/08 08:22:12;credit_card;active
TiMagalhães;Tiago Magalhães;timagalhães@li3.pt;(351) 969098468;1995/06/22;M;VP893001;PT;Largo Fernandes, 465554-505 Santiago do Cacém;2016/06/06 02:12:01;cash;active
NaPereira1008;Naiara Pereira;napereira1008@li3.pt;(351) 961788024;1970/01/08;F;ZY631545;PT;Largo Maia, S/N0861-580 Rio Maior;2015/07/28 20:46:47;cash;active
LucGomes-Alves;Luciana Gomes-Alves;lucgomes-alves@li3.pt;(351) 966862586;1973/01/26;F;YJ045774;PT;Alameda de Faria, 133359-854 Marinha Grande;2013/05/14 10:46:34;credit_card;inactive
GabLima1338;Gabriela Lima;gablima1338@li3.pt;914 743 669;1988/02/21;F;PU195851;PT;Praça de Lima, S/N3030-283 Mealhada;2017/05/18 15:44:04;credit_card;active
BrPinheiro73;Bruna Pinheiro;brpinheiro73@li3.pt;(351) 960 832 490;1986/10/01;F;XF024941;PT;Largo Vieira, 721868-524 Vila Real de Santo António;2018/08/11 09:54:34;debit_card;active
AliMacedo243;Alice Macedo;alimacedo243@li3.pt;(351) 923204734;1980/08/24;F;BI455246;PT;Travessa da Ilha do Ferro, 453263-971 Santo Tirso;2015/06/29 22:55:08;debit_card;active
EvBarbosa;Eva Barbosa;evbarbosa@li3.pt;(351) 937397650;2002/12/08;F;BS223102;PT;Avenida Sérgio Borges, 149660-784 Portimão;2012/04/27 05:29:54;debit_card;active
CAmorim;Caetana Amorim;camorim@li3.pt;+351961505774;1994/12/19;F;CO132958;PT;Avenida de Baptista, 355896-553 Quarteira;2012/04/16 04:10:13;debit_card;active
LGarcia1208;Lia Garcia;lgarcia1208@li3.pt;(351) 216 852 574;1996/04/22;F;RQ468696;PT;Travessa das Virtudes, 188859-781 Rio Tinto;2015/09/05 10:00:51;credit_card;active
LisandAmorim;Lisandro Amorim;lisandamorim@li3.pt;(351) 275 492 956;1970/11/26;M;PC979510;PT;Alameda de Branco, 822117-815 Santana;2011/03/23 22:48:36;credit_card;active
ManuReis;Manuel Reis;manureis@li3.pt;(351) 964304662;1982/04/30;M;PG866158;PT;Travessa Joaquim Guerreiro, 659369-779 Peniche;2016/07/05 17:31:35;cash;active
CaroliMatias752;Carolina Matias;carolimatias752@li3.pt;(351) 915688415;1964/06/03;F;VE781109;PT;Avenida Assunção, S/N0618-434 Sacavém;2016/08/18 04:04:54;debit_card;active
AndCardoso554;Andreia-Mara Cardoso;andcardoso554@li3.pt;(351) 918 211 464;1999/03/20;F;BJ546148;PT;Largo Matilde Domingues, 96542-743 Mêda;2012/07/10 13:31:53;cash;inactive
CarloCoelho1939;Carlos Coelho;carlocoelho1939@li3.pt;(351) 937 915 673;2003/06/15;M;EU190308;PT;Largo Leite, 79488-115 Barcelos;2013/11/07 04:40:38;cash;active
RafaCarvalho243;Rafael Carvalho;rafacarvalho243@li3.pt;(351) 939846774;1969/08/13;M;AH890039;PT;Largo de Azevedo, 7238331-886 Lourosa;2016/05/07 22:37:18;debit_card;active
DiMoura137;Dinis Moura;dimoura137@li3.pt;+351202499951;1983/08/27;M;GG041248;PT;Travessa Abreu, 305657-198 Guimarães;2014/05/27 10:10:50;debit_card;active
LouSilva;Lourenço Silva;lousilva@li3.pt;(351) 923071342;1954/08/28;M;UB671465;PT;Avenida Filipa Cunha, 615568-030 Mirandela;2018/01/08 18:16:49;credit_card;active
AMacedo;Alícia da Macedo;amacedo@li3.pt;(351) 922912290;1996/12/24;F;TC892368;PT;Av do Adro, S/N8217-692 Vila Nova de Foz Côa;2011/03/13 10:24:54;cash;active
EduardSoares;Eduardo Soares;eduardsoares@li3.pt;932 624 459;1951/08/04;M;XN287199;PT;Av de Baptista, 615160-966 Chaves;2016/01/31 04:29:00;debit_card;active
EduardMacedo1410;Eduardo Macedo;eduardmacedo1410@li3.pt;+351965197612;2002/12/29;M;AT493068;PT;Travessa de Moreira, 113236-829 Quarteira;2018/10/09 09:18:59;debit_card;active
JCoelho1805;Jorge Coelho;jcoelho1805@li3.pt;(351) 960 348 268;1996/01/22;M;AI627727;PT;Av Ângelo Miranda, 5956177-268 Póvoa de Santa Iria;2016/03/03 08:58:51;debit_card;active
NunLourenço1647;Nuno Lourenço;nunlourenço1647@li3.pt;918455384;1957/12/27;M;AT619295;PT;Av de Soares, 785465-158 Lagoa;2020/08/15 03:03:19;cash;active
FilAmorim;Filipe Amorim;filamorim@li3.pt;(351) 919146679;1950/01/30;M;ME228617;PT;Travessa Lia Vaz, S/N6062-034 Almeirim;2014/07/21 00:52:54;cash;active
BrAntunes;Bruno Antunes;brantunes@li3.pt;935 751 614;1957/08/13;M;CD356651;PT;Travessa Mateus Miranda, 973123-550 São Salvador de Lordelo;2020/04/21 00:37:21;debit_card;active
KéAssunção;Kévim Assunção;kéassunção@li3.pt;(351) 916671801;2002/04/26;M;MM893732;PT;Largo Jorge Fonseca, 4508461-479 Vila Nova de Famalicão;2011/12/09 23:39:16;cash;active
EmmLeite;Emma Leite;emmleite@li3.pt;(351) 254949823;1988/01/08;F;MZ087354;PT;Praça do Monte, 8945125-656 Amarante;2017/06/11 01:12:08;credit_card;active
EnCorreia;Enzo Correia;encorreia@li3.pt;292 113 543;1969/12/01;M;HU098356;PT;Rua Andreia Pires, 6644815-458 Valongo;02:05:47 AM/07/03/2022;credit_card;active
DaniBranco-Soares118;Daniel Branco-Soares;danibranco-soares118@li3.pt;(351) 926 465 414;1951/05/07;M;KI611578;PT;Avenida António Cardoso, S/N6807-969 Santa Cruz;2020/07/15 03:04:31;credit_card;active
VValente;Vera Valente;vvalente@li3.pt;(351) 929369897;1994/05/18;F;ZV074905;PT;Avenida Lara Barbosa, 933163-960 Torres Vedras;2019/07/19 10:43:59;cash;active
LisanAssunção;Lisandro Assunção;lisanassunção@li3.pt;931046326;1981/08/31;M;WT607098;PT;R. Garcia, 58619-528 Lamego;2013/02/20 17:15:28;debit_card;ACTIVE
GPaiva;Gabriela Paiva;gpaiva@li3.pt;+351917258425;1981/06/20;F;ZD066257;PT;Largo Débora Matias, 347263-368 Marinha Grande;2020/12/02 22:56:27;debit_card;active
VitóAntunes1205;Vitória Antunes;vitóantunes1205@li3.pt;963341710;2002/04/29;F;GL662161;PT;Largo Manuel Neto, 362958-377 Montijo;2011/03/03 22:15:52;cash;active
FLourenço;Filipa Lourenço;flourenço@li3.pt;(351) 934172253;2001/06/19;F;SD788683;PT;Largo Melo, 8294794-888 Guarda;2017/10/20 11:36:16;credit_card;active
DiAmaral-Vaz1008;Dinis Amaral-Vaz;diamaral-vaz1008@li3.pt;(351) 924324460;1985/11/25;M;VT225499;PT;Largo Brian Gonçalves, 786165-352 Santarém;2011/05/15 18:29:39;credit_card;active
NoFerreira;Noa Ferreira;noferreira@li3.pt;936251000;1965/06/14;M;IW251903;PT;Praça Laura Jesus, 33069-448 Seixal;2013/03/15 22:47:20;credit_card;active
ErPinho;Erica do Pinho;erpinho@li3.pt;923 141 874;1995/09/25;F;MO490256;PT;Travessa Professor José Conde, S/N0568-752 Vila Franca de Xira;2012/09/28 14:47:16;cash;active
GabFerreira1785;Gabriel Ferreira;gabferreira1785@li3.pt;(351) 241 734 453;1987/02/14;M;XD985770;PT;Largo Pinho, 594634-969 Santa Cruz;2019/04/26 17:05:52;cash;Active
JoePires1247;Joel Pires;joepires1247@li3.pt;+351938408449;1982/03/21;M;IZ883533;PT;Travessa Futebol Clube do Porto, 891880-148 Barcelos;2017/06/05 23:48:44;debit_card;active
CaReis;Catarina Reis;careis@li3.pt;(351) 920 561 655;1999/10/26;F;BH995055;PT;Alameda Sousa, 5705598-559 Trofa;2017/08/24 02:26:29;debit_card;active
TiagCardoso;Tiago Cardoso;tiagcardoso@li3.pt;917 451 945;1982/01/16;M;VV380187;PT;Av de Nascimento, 229039-610 Amarante;2014/05/22 11:30:40;cash;inactive
ConstaRocha;Constança Rocha;constarocha@li3.pt;960 237 184;1991/11/17;F;EV217927;PT;Av Branco, S/N1803-962 Serpa;2012/10/27 09:47:51;cash;active
SebMoreira;Sebastião Moreira;sebmoreira@li3.pt;+351934429531;1951/05/24;M;TC731977;PT;Alameda Teresa Matias, 29338-048 Fátima;2012/08/17 06:12:56;credit_card;active
Débora-KGomes1351;Débora-Kyara Gomes;débora-kgomes1351@li3.pt;(351) 963659364;1959/02/11;F;TX996799;PT;R. Augusto Monjardino, 712634-686 Oliveira de Azeméis;2015/06/22 22:13:38;debit_card;active
RNascimento768;Rafaela Nascimento;rnascimento768@li3.pt;(351) 910 218 969;1974/12/24;F;AA404449;PT;Av Fabiana Pinho, 960482-689 Lamego;2010/05/14 21:24:44;debit_card;active
ÍMorais29;Íris Morais;ímorais29@li3.pt;+351916003742;1994/10/19;F;OA284097;PT;Alameda Abreu, 603452-132 Barcelos;2019/05/10 17:34:12;cash;active
ValGuerreiro611;Valentim Guerreiro;valguerreiro611@li3.pt;(351) 236667596;1988/08/30;M;VA859388;PT;Travessa de Domingues, 78939-545 Moura;2018/02/23 09:32:51;credit_card;active
IvaGuerreiro1192;Ivan da Guerreiro;ivaguerreiro1192@li3.pt;233598512;1976/11/25;M;AB120511;PT;Praça Benedita Assunção, 133816-207 Setúbal;2018/11/02 00:46:27;debit_card;Active
GaspBranco448;Gaspar Branco;gaspbranco448@li3.pt;(351) 936392098;2002/02/20;M;KD022426;PT;Largo Anjos, 2172226-583 Santo Tirso;2016/02/09 04:14:14;credit_card;
EnFerreira343;Enzo Ferreira;enferreira343@li3.pt;(351) 281785364;1974/06/28;M;KB736881;PT;Rua Maia, 611073-180 São Mamede de Infesta;2019/05/17 11:27:24;debit_card;active
ESousa623;Eduarda Sousa;esousa623@li3.pt;(351) 911 937 600;1950/02/10;F;OU147495;PT;Rua de Pereira, 73258-564 Vila Nova de Famalicão;2015/12/08 05:46:45;cash;active
Ariana-LaurAssunção1383;Ariana-Laura Assunção;ariana-laurassunção1383@li3.pt;(351) 270585620;1950/06/09;F;AA376183;PT;Praça dos Argonautas, 4146423-090 Ourém;2012/03/23 00:36:40;debit_card;Active
SofLoureiro409;Sofia Loureiro;sofloureiro409@li3.pt;(351) 912589029;1990/03/31;F;RV201416;PT;Av Joaquim Morais, 4185213-327 Ovar;2018/06/19 05:05:08;debit_card;ACTIVE
IsmBarbosa;Ismael Barbosa;ismbarbosa@li3.pt;(351) 251085838;1978/09/21;M;KK150948;PT;Largo Pedro Gomes, 3716038-944 Guimarães;2019/01/17 20:10:40;cash;active
JuMartins845;Juliana Martins;jumartins845@li3.pt;(351) 227 613 635;1968/08/20;F;HN906598;PT;Rua Sabugosa, S/N0954-398 Paços de Ferreira;2013/03/04 15:04:07;debit_card;active
NMorais1600;Núria Morais;nmorais1600@li3.pt;(351) 967 004 453;1997/04/10;F;AU972838;PT;Rua de Brito, 679400-761 Marinha Grande;2011/09/11 17:06:59;credit_card;active
JúliOliveira;Júlia Oliveira;júlioliveira@li3.pt;291060994;1978/07/23;F;LL954747;PT;R. Areeiro, 5992303-372 Maia;2016/09/28 11:03:41;credit_card;active
MargariVicente1961;Margarida Vicente;margarivicente1961@li3.pt;916373979;1983/07/27;F;TB616713;PT;Praça do Regado, S/N2768-972 Vila Nova de Gaia;2018/12/17 06:34:01;credit_card;active
VeMagalhães;Vera Magalhães;vemagalhães@li3.pt;287623364;1950/07/04;F;KN895584;PT;Alameda José Nascimento, 24725-552 Quarteira;2013/02/23 18:24:45;debit_card;active
Sofia-CaBarros1520;Sofia-Camila Barros;sofia-cabarros1520@li3.pt;+351920765482;1981/09/02;F;LM609746;PT;Largo das Musas, 895878-868 Fiães;2010/06/07 03:33:20;cash;active
LoureLopes1486;Lourenço Lopes;lourelopes1486@li3.pt;(351) 968934865;1996/01/07;M;TC432698;PT;R. Pinho, 572154-258 Penafiel;2019/07/06 21:39:49;credit_card;active
JoaRibeiro1200;Joana da Ribeiro;joaribeiro1200@li3.pt;(351) 917 338 067;2005/10/22;F;JX132120;PT;Largo Lourenço, 372342-739 Tavira;2017/04/30 22:33:23;debit_card;active
NAnjos;Noah Anjos;nanjos@li3.pt;233197049;1993/02/19;M;HC201397;PT;Av Mota, 668987-663 Serpa;2016/11/21 21:21:40;cash;active
WilsLeal;Wilson Leal;wilsleal@li3.pt;966 466 512;1986/09/12;M;TA759162;PT;Praça Grande de Cima, 649858-252 Vila Real de Santo António;2014/03/31 06:29:50;cash;active
SeBarbosa1183;Sebastião Barbosa;sebarbosa1183@li3.pt;(351) 916661961;1966/08/28;M;FV147803;PT;Av de Simões, S/N7003-872 Santa Cruz;2020/04/21 21:00:16;credit_card;active
ViJesus;Violeta Jesus;vijesus@li3.pt;917472030;1974/06/15;F;KY445814;PT;Alameda Esteves, 664785-956 Paços de Ferreira;2016/03/18 13:36:41;cash;inactive
RFreitas-Rocha;Rúben Freitas-Rocha;rfreitas-rocha@li3.pt;938824340;1993/03/12;M;MR987393;PT;R. Sousa, 6871619-443 Gafanha da Nazaré;2019/12/26 04:25:45;cash;Active
FraAmaral;Francisca do Amaral;fraamaral@li3.pt;910 805 308;1952/08/31;F;GE809871;PT;Largo de Matias, 28702-897 Elvas;2013/05/26 04:30:31;cash;active
LeLoureiro;Leonor Loureiro;leloureiro@li3.pt;(351) 962 147 853;1974/07/16;F;IO745701;PT;R. Filipe Matos, 3728981-040 Praia da Vitória;2020/07/29 07:21:11;cash;active
JoaSoares;Joana Soares;joasoares@li3.pt;(351) 923 471 886;1993/07/23;F;RX721502;PT;Alameda Micael Ribeiro, 438892-356 Pombal;2015/05/31 11:18:58;cash;active
EBrito;Ema Brito;ebrito@li3.pt;934981890;1983/03/12;F;WW331247;PT;Rua Tiago Marques, 951756-334 Penafiel;2011/04/15 20:11:13;cash;active
NúriBrito2017;Núria Brito;núribrito2017@li3.pt;(351) 915606255;1975/11/11;F;ES038746;PT;Av Jéssica Alves, 732577-456 Cantanhede;2019/01/04 18:44:23;cash;active
BenRamos1338;Benedita-Nair Ramos;benramos1338@li3.pt;911 970 709;1961/08/16;F;TV949946;PT;Av de Tavares, 1241895-328 Vila Nova de Santo André;2020/06/23 12:09:32;credit_card;active
NMiranda1334;Naiara Miranda;nmiranda1334@li3.pt;+351928707731;1983/11/20;F;TR751601;PT;Avenida Matias, 92350-545 Alcobaça;2010/05/23 19:56:35;credit_card;
RúbMiranda;Rúben Miranda;rúbmiranda@li3.pt;+351920811025;1982/03/17;M;OX304154;PT;Rua dos Mártires da Pátria, 567298-753 Vila Real;2011/12/22 15:15:37;credit_card;active
NádCunha;Nádia Cunha;nádcunha@li3.pt;(351) 911566701;1992/11/14;F;PY938882;PT;Travessa Figueiredo, 50462-212 Seixal;2016/07/15 12:23:43;cash;active
EriLopes1679;Erika do Lopes;erilopes1679@li3.pt;913541936;1987/07/07;F;LF033689;PT;R. de Moreira, S/N6732-523 Vila Nova de Famalicão;2018/04/26 21:57:13;debit_card;active
LorenEsteves874;Lorena do Esteves;lorenesteves874@li3.pt;(351) 915776693;1994/08/12;F;KS385987;PT;Av Alexandra Maia, 8852493-526 Reguengos de Monsaraz;2012/09/09 14:58:20;debit_card;active
CarTavares;Carminho-Sofia Tavares;cartavares@li3.pt;910 346 743;1977/08/06;F;VF973262;PT;Alameda Ana Rocha, 161543-148 Aveiro;2013/08/03 17:31:19;cash;active
ValCosta;Valentim Costa;valcosta@li3.pt;(351) 215 435 692;1977/01/10;M;HW092946;PT;Praça do Falcão, 91257-998 Lagoa;2017/12/06 18:33:53;credit_card;active
GabriePereira352;;gabriepereira352@li3.pt;961 626 497;1977/06/13;M;ZC221029;PT;Largo Barbosa, S/N4172-648 Matosinhos;2020/05/01 15:06:14;cash;active
WiMoreira1438;William Moreira;wimoreira1438@li3.pt;930 031 627;1980/06/10;M;PF416412;PT;Praça Mafalda Alves, 747635-534 Fiães;2015/10/22 01:33:52;debit_card;active
ArtuGonçalves;Artur Gonçalves;artugonçalves@li3.pt;(351) 963 837 148;1972/11/16;M;MO356967;PT;Av de Almeida, 348944-516 Oliveira de Azeméis;2014/06/27 06:40:18;credit_card;Active
ÉriEsteves-Ferreira1185;Érica Esteves-Ferreira;ériesteves-ferreira1185@li3.pt;(351) 934096687;1965/10/15;F;GI391222;PT;Praça Brian Almeida, 83566-041 Valongo;2015/07/08 15:25:59;credit_card;active
RCarneiro;Renata Carneiro;rcarneiro@li3.pt;(351) 933 235 944;1984/09/14;F;CQ857302;PT;R. Campolide, S/N0075-409 Caniço;2016/05/22 10:31:37;credit_card;active
KyarAraújo;Kyara Araújo;kyararaújo@li3.pt;(351) 245 116 305;1968/07/27;F;LY616030;PT;Rua de Melo, 275137-529 Alcobaça;2012/03/31 02:55:52;credit_card;active
ClPaiva-Reis;Clara Paiva-Reis;clpaiva-reis@li3.pt;927696026;1986/01/19;F;EL300744;PT;Avenida Cruz, 89572-570 Mêda;2010/07/27 06:41:50;debit_card;active
AméliFreitas;Amélia-Íris Freitas;amélifreitas@li3.pt;(351) 934 858 922;1993/06/29;F;SG077239;PT;Rua de João Augusto Ribeiro, S/N4323-742 Ribeira Grande;2010/08/16 14:38:27;cash;active
HeFonseca1140;Helena Fonseca;hefonseca1140@li3.pt;967 825 299;1994/04/20;F;SB460501;PT;Rua de Teixeira, 7700437-587 Loulé;2019/08/16 18:51:50;credit_card;active
MNeves499;Mário de Neves;mneves499@li3.pt;(351) 923438923;1997/08/26;M;MA579250;PT;R. Noah Tavares, 33346-084 Leiria;2013/08/29 08:18:46;cash;active
ToAzevedo;Tomás da Azevedo;toazevedo@li3.pt;(351) 960 179 429;1960/11/23;;KY051769;PT;Largo de Jesus, 2321169-486 Rio Maior;2017/01/15 09:43:35;credit_card;active
GJesus;Gil Jesus;gjesus@li3.pt;(351) 924192067;1986/07/03;M;JE238627;PT;Travessa João Lima, 144608-820 Vila Real de Santo António;2011/08/15 11:34:02;cash;inactive
RúSoares694;Rúben do Soares;rúsoares694@li3.pt;(351) 270230854;1974/01/18;M;SW856154;PT;R. José Jesus, 42851-298 Peniche;2014/11/21 08:55:36;cash;active
Clara-LaTeixeira1032;Clara-Lara Teixeira;clara-lateixeira1032@li3.pt;261 175 928;1998/08/12;F;BY982864;PT;Largo de Fonseca, 93208-775 Marco de Canaveses;2012/08/13 02:20:24;debit_card;active
LAlves1667;Luísa Alves;lalves1667@li3.pt;+351934216760;1950/03/30;F;UD771593;PT;R. de Moradais Populares do Carriçal, S/N2588-284 Ílhavo;2010/04/20 20:04:37;cash;active
LVaz893;Lia Vaz;lvaz893@li3.pt;+351922349544;1954/12/02;F;GC680353;PT;Av Santiago Pinto, 901782-281 Leiria;2012/10/20 04:20:33;credit_card;active
SofiCastro1012;Sofia Castro;soficastro1012@li3.pt;+351917142573;1974/02/06;F;BQ330027;PT;Av Márcio Rodrigues, 541466-633 Covilhã;2011/01/24 14:45:42;credit_card;active
TomCardoso506;Tomé da Cardoso;tomcardoso506@li3.pt;238076779;1951/09/08;M;KV293758;PT;R. de Oliveira, 116478-212 Maia;2010/03/07 19:22:44;cash;active
CaetanMarques;Caetana Marques;caetanmarques@li3.pt;201479617;1986/11/06;F;CX074152;PT;Avenida do Alto do Varejão, 567198-033 Peniche;2018/07/12 09:12:19;debit_card;active
LuBrito27;Luca do Brito;lubrito27@li3.pt;(351) 964 189 016;1974/03/27;M;UR236005;PT;Largo de Luiz I, 8212059-228 Rio Tinto;2020/03/07 13:15:12;credit_card;active
MigueAbreu-Henriques1137;Miguel Abreu-Henriques;migueabreu-henriques1137@li3.pt;(351) 934 739 830;1967/11/18;M;KB742410;PT;Rua Vera Tavares, S/N1303-977 Almada;2016/02/20 07:25:16;cash;active
DPires886;Diogo Pires;dpires886@li3.pt;966767150;1952/11/25;M;JJ662912;PT;Travessa do Picoto, S/N5972-647 Vila Franca de Xira;2019/04/24 13:57:27;credit_card;inactive
ÂngRocha;Ângela Rocha;ângrocha@li3.pt;(351) 912 945 153;1987/11/24;F;TT781230;PT;Travessa Henrique Macedo, 125166-232 Valpaços;2010/03/12 16:16:23;cash;active
BeatrPinho-Alves;Beatriz Pinho-Alves;beatrpinho-alves@li3.pt;910582229;2004/06/21;F;SZ638797;PT;Praça de Silva, S/N3349-346 Pombal;2019/08/10 07:59:48;cash;active
BenjCruz3;Benjamim Cruz;benjcruz3@li3.pt;(351) 233 104 303;1963/10/14;M;AF433483;PT;Travessa de S. Marçal, 269100-795 Ermesinde;2012/06/05 12:53:50;cash;active
CarmiVicente1971;Carminho Vicente;carmivicente1971@li3.pt;(351) 201 410 091;1978/01/26;F;PS695293;PT;Av de Henriques, S/N0521-798 Seixal;2015/10/21 02:58:37;credit_card;active
YarCarvalho;Yara Carvalho;yarcarvalho@li3.pt;928965647;1952/03/06;F;FK690868;PT;Rua Neves, 77259-350 Odivelas;2011/01/21 16:15:47;credit_card;active
JosGonçalves599;José Gonçalves;josgonçalves599@li3.pt;(351) 911 970 261;1985/01/29;M;WZ050155;PT;R. das Pedras, S/N1398-260 Mangualde;2016/01/15 10:49:39;credit_card;active
FraAlves14;Francisco Alves;fraalves14@li3.pt;(351) 257 504 310;1981/07/26;M;CB156716;PT;Praça Ferreira de Mira, 407040-702 Horta;2014/12/27 23:32:27;debit_card;active
IsReis1192;Isaac Reis;isreis1192@li3.pt;+351936133520;1999/07/31;M;EA145299;PT;Praça de Sousa, 7007438-870 Rebordosa;2014/12/18 05:48:30;credit_card;active
RenEsteves638;Renata Esteves;renesteves638@li3.pt;(351) 920 073 173;1960/03/06;F;PJ751696;PT;Av Guilherme Gonçalves, 1408242-050 Matosinhos;2013/09/25 10:29:42;credit_card;active
PLopes1776;Pedro Lopes;plopes1776@li3.pt;(351) 969 403 145;1957/11/17;M;LL768782;PT;Praça de Barbosa, 951781-400 Montijo;2012/08/16 00:25:38;credit_card;active
FilipPaiva1616;Filipa Paiva;filippaiva1616@li3.pt;(351) 924 827 912;1983/07/17;F;TS564361;PT;Rua Torres, 911832-483 Serpa;2016/01/27 18:39:30;debit_card;active
SoBranco866;Soraia Branco;sobranco866@li3.pt;(351) 919574993;1987/06/09;F;YD918965;PT;Largo Carvalho, 916040-089 Esmoriz;2015/04/13 14:57:45;credit_card;active
MaGomes1920;Matias Gomes;magomes1920@li3.pt;(351) 966353783;2000/04/14;M;VU095904;PT;Avenida Francisco Vieira, S/N0662-370 Oliveira do Bairro;2013/03/22 08:36:05;debit_card;active
GustaRibeiro;Gustavo Ribeiro;gustaribeiro@li3.pt;218 627 625;2002/08/03;M;FW026241;PT;Largo Moreira, 7026645-609 Vila Real de Santo António;2014/06/05 07:02:33;debit_card;active
PetrPinho;Petra Pinho;petrpinho@li3.pt;(351) 933 864 135;1980/12/24;F;JK195804;PT;Av Andrade, 242696-859 Marinha Grande;2012/08/10 17:09:39;debit_card;active
XavieAlves1580;Xavier Alves;xaviealves1580@li3.pt;937257057;1955/06/28;M;BA744745;PT;Alameda de Assunção, S/N2591-423 Vila Nova de Famalicão;2011/08/13 23:29:34;debit_card;active
GiSimões;Gil Simões;gisimões@li3.pt;915751664;1956/09/27;M;JN196228;PT;Alameda Luís Reis, S/N0152-396 Miranda do Douro;2010/06/19 23:08:31;credit_card;active
JoaquiLima-Campos;Joaquim Lima-Campos;joaquilima-campos@li3.pt;969 929 648;1960/09/06;M;NS473665;PT;Largo de Assunção, 570803-109 Tondela;2019/08/30 03:57:57;cash;active
VítoNascimento1015;Vítor Nascimento;vítonascimento1015@li3.pt;(351) 967503960;1973/01/12;M;BP009591;PT;Travessa de Martins, 842059-359 Valpaços;2016/04/29 16:56:07;credit_card;active
GuPinheiro770;Guilherme Pinheiro;gupinheiro770@li3.pt;+351920464875;1989/02/10;M;ZG094554;PT;R. Leonardo Domingues, 858008-530 Torres Novas;2019/03/09 21:52:10;credit_card;active
RicTavares976;Ricardo Tavares;rictavares976@li3.pt;+351926012902;1958/09/06;M;ZM898667;PT;Av Batista, S/N3035-299 Ribeira Grande;2016/02/25 10:57:22;cash;active
MaurCosta1695;Mauro Costa;maurcosta1695@li3.pt;(351) 935057924;1963/11/03;M;EZ951036;PT;Rua Isabel Santos, 473245-909 Horta;2019/10/26 06:38:18;credit_card;active
