id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000138;TAP Air Portugal;Airbus A320;200;LIS;MAD;2021/11/22 09:34:04;2021/11/22 10:44:04;2021/11/22 09:49:04;2021/11/22 12:14:04;Jane Williams;Emily Miller;
0000000139;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/05/09 15:27:38;2021/05/09 16:27:38;2021/05/09 15:47:38;2021/05/09 17:47:38;Laura Moore;John Taylor;
0000000140;British Airways;Boeing 737;150;LHR;AMS;2021/02/22 09:28:52;2021/02/22 10:38:52;2021/02/22 09:58:52;2021/02/22 12:18:52;Sarah Smith;Emily Johnson;
0000000141;Alitalia;Boeing 767;280;FCO;ATH;2022/05/06 00:24:37;2022/05/06 02:24:37;2022/05/06 00:24:37;2022/05/06 04:44:37;Laura Wilson;Emily Moore;
0000000142;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/03/07 06:27:17;2023/03/07 07:57:17;2023/03/07 06:27:17;2023/03/07 09:27:17;Olivia Brown;Sarah Moore;We have a strong commitment to on-time departures.
0000000143;British Airways;Boeing 737;150;LHR;AMS;2023/07/21 03:40:45;2023/07/21 04:50:45;2023/07/21 03:40:45;2023/07/21 06:00:45;Sarah Smith;Emily Johnson;
0000000144;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/05/08 09:11:09;2023/05/08 10:21:09;2023/05/08 09:31:09;2023/05/08 11:51:09;Sarah Davis;Michael Brown;
0000000145;Turkish Airlines;Airbus A320;200;IST;PRG;2021/11/12 10:15:51;2021/11/12 12:45:51;2021/11/12 10:30:51;2021/11/12 15:30:51;Sarah Taylor;David Smith;
0000000146;Transavia;Airbus A320;180;AMS;NCE;2023/01/12 16:53:41;2023/01/12 19:13:41;2023/01/12 16:53:41;2023/01/12 21:33:41;Jane Jones;Jane Jones;Thank you for choosing our airline for your journey.
0000000147;Ryanair;Boeing 737;189;DUB;TXL;2022/07/17 05:27:34;2022/07/17 07:27:34;2022/07/17 05:27:34;2022/07/17 09:57:34;Jane Davis;Emily Davis;
0000000148;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2021/12/15 08:10:57;2021/12/15 08:55:57;2021/12/15 08:10:57;2021/12/15 10:00:57;William Brown;Emily Wilson;
0000000149;Alitalia;Boeing 767;280;FCO;ATH;2023/04/11 13:42:01;2023/04/11 15:42:01;2023/04/11 13:42:01;2023/04/11 17:57:01;Laura Wilson;Emily Moore;
0000000150;Aer Lingus;Airbus A320;180;DUB;LIS;2023/07/02 12:10:28;2023/07/02 15:10:28;2023/07/02 12:55:28;2023/07/02 18:55:28;Jane Jones;David Davis;
0000000151;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/03/10 05:00:00;2023/03/10 06:10:00;2023/03/10 05:00:00;2023/03/10 07:35:00;Sarah Davis;Michael Brown;
0000000152;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2023/08/04 02:14:11;2023/08/04 03:14:11;2023/08/04 02:14:11;2023/08/04 04:14:11;David Smith;John Jones;
0000000153;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/01/06 15:28:31;2022/01/06 16:38:31;2022/01/06 15:28:31;2022/01/06 18:33:31;Sarah Davis;Michael Brown;
0000000154;Aer Lingus;Airbus A320;180;DUB;LIS;2022/05/04 10:59:25;2022/05/04 13:59:25;2022/05/04 10:59:25;2022/05/04 17:19:25;Jane Jones;David Davis;
0000000155;Iberia;Airbus A321;220;MAD;LIS;2021/07/15 14:25:45;2021/07/15 15:40:45;2021/07/15 14:25:45;2021/07/15 17:00:45;Robert Johnson;John Moore;
0000000156;Alitalia;Boeing 767;280;FCO;ATH;2022/05/05 08:09:33;2022/05/05 10:09:33;2022/05/05 08:54:33;2022/05/05 12:54:33;Laura Wilson;Emily Moore;
0000000157;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/06/18 08:54:48;2023/06/18 11:19:48;2023/06/18 08:54:48;2023/06/18 13:44:48;Emily Davis;John Smith;
0000000158;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/11/04 07:16:16;2021/11/04 08:26:16;2021/11/04 07:16:16;2021/11/04 09:36:16;Sarah Davis;Michael Brown;
0000000159;Lufthansa;Boeing 777;300;FRA;MAD;2022/07/06 14:55:03;2022/07/06 17:25:03;2022/07/06 14:55:03;2022/07/06 20:40:03;Emily Davis;Laura Brown;
0000000160;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/02/08 11:25:13;2021/02/08 12:55:13;2021/02/08 11:55:13;2021/02/08 15:15:13;;Sarah Moore;
0000000161;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/07/13 04:27:30;2021/07/13 05:57:30;2021/07/13 04:42:30;2021/07/13 07:57:30;Olivia Brown;Sarah Moore;
0000000162;British Airways;Boeing 737;150;LHR;AMS;2022/12/10 10:47:20;2022/12/10 11:57:20;2022/12/10 11:02:20;2022/12/10 14:07:20;Sarah Smith;Emily Johnson;
0000000163;Vueling Airlines;Airbus A319;160;BCN;FCO;2023/02/10 03:24:09;2023/02/10 05:14:09;2023/02/10 03:24:09;2023/02/10 07:34:09;Jane Moore;Emily Taylor;The airport is busy, but we'll find a gate shortly.
0000000164;British Airways;Boeing 737;150;LHR;AMS;2022/08/21 13:29:46;2022/08/21 14:39:46;2022/08/21 13:44:46;2022/08/21 16:09:46;Sarah Smith;Emily Johnson;Pilots are in constant communication with air traffic control.
0000000165;Transavia;Airbus A320;180;aMs;NCE;2023/05/06 12:36:16;2023/05/06 14:56:16;2023/05/06 13:06:16;2023/05/06 17:46:16;Jane Jones;Jane Jones;
0000000166;Turkish Airlines;Airbus A320;200;IST;PRG;2023/04/08 07:00:53;2023/04/08 09:30:53;2023/04/08 07:00:53;2023/04/08 12:00:53;Sarah Taylor;David Smith;
0000000167;Aeroflot;Airbus A320;250;SVO;TXL;2021/02/04 01:12:54;2021/02/04 04:27:54;2021/02/04 01:12:54;2021/02/04 07:42:54;William Davis;Emily Davis;
0000000168;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/02/21 11:47:41;2022/02/21 12:47:41;2022/02/21 12:07:41;2022/02/21 14:27:41;David Smith;John Jones;Cabin pressure and temperature are within normal ranges.
0000000169;Lufthansa;Boeing 777;300;FRA;MAD;2022/11/07 10:14:31;2022/11/07 12:44:31;2022/11/07 10:19:31;2022/11/07 15:24:31;Emily Davis;Laura Brown;
0000000170;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2021/04/03 04:24:49;2021/04/03 05:39:49;2021/04/03 04:24:49;2021/04/03 06:54:49;David Johnson;Michael Johnson;
0000000171;Lufthansa;Boeing 777;300;FRA;MAD;2023/05/10 12:03:42;2023/05/10 14:33:42;2023/05/10 12:23:42;2023/05/10 18:08:42;Emily Davis;Laura Brown;
0000000172;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/11/02 11:12:35;2022/11/02 12:27:35;2022/11/02 11:42:35;2022/11/02 14:12:35;David Johnson;Michael Johnson;
0000000173;Turkish Airlines;Airbus A320;200;IST;PRG;2023/07/22 06:07:24;2023/07/22 08:37:24;2023/07/22 06:27:24;2023/07/22 11:27:24;Sarah Taylor;;Pilots are in constant communication with air traffic control.
0000000174;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/07/11 04:57:53;2023/07/11 07:22:53;2023/07/11 05:17:53;2023/07/11 10:07:53;Emily Davis;John Smith;
0000000175;Turkish Airlines;Airbus A320;200;IST;PRG;2021/01/11 15:29:54;2021/01/11 17:59:54;2021/01/11 15:44:54;2021/01/11 20:49:54;;David Smith;
0000000176;Ryanair;Boeing 737;189;DUB;BCN;2023/07/13 09:31:25;2023/07/13 12:16:25;2023/07/13 09:51:25;2023/07/13 15:26:25;Laura Wilson;Sarah Davis;The flight crew is highly experienced and trained.
0000000177;Ryanair;Boeing 737;189;DUB;BCN;2021/10/21 16:49:01;2021/10/21 19:34:01;2021/10/21 16:49:01;2021/10/21 23:04:01;Laura Wilson;Sarah Davis;
0000000178;Aeroflot;Airbus A320;250;SVO;TXL;2022/03/14 01:09:01;2022/03/14 04:24:01;2022/03/14 01:09:01;2022/03/14 08:24:01;William Davis;Emily Davis;
0000000179;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/07/16 11:00:15;2023/07/16 12:30:15;2023/07/16 11:15:15;2023/07/16 15:00:15;Olivia Brown;;
0000000180;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2023/02/03 04:16:21;2023/02/03 05:31:21;2023/02/03 04:16:21;2023/02/03 07:16:21;David Johnson;Michael Johnson;Thank you for choosing our airline for your journey.
0000000181;Ryanair;Boeing 737;189;DUB;BCN;2023/07/12 16:19:09;2023/07/12 13:34:09;2023/07/12 13:49:09;2023/07/12 19:19:09;Laura Wilson;Sarah Davis;We prioritize passenger comfort and safety.
0000000182;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/09/21 17:14:35;2021/09/21 18:14:35;2021/09/21 17:14:35;2021/09/21 19:19:35;David Smith;John Jones;
0000000183;Transavia;Airbus A320;180;AMS;NCE;2021/05/01 15:49:21;2021/05/01 18:09:21;2021/05/01 16:04:21;2021/05/01 21:14:21;Jane Jones;Jane Jones;
0000000184;Transavia;Airbus A320;180;AMS;NCE;2021/03/13 12:04:52;2021/03/13 14:24:52;2021/03/13 12:04:52;2021/03/13 16:44:52;Jane Jones;Jane Jones;
0000000185;Jet2.com;Airbus A321;220;MAn;PRG;2023/03/22 07:30:35;2023/03/22 10:00:35;2023/03/22 08:00:35;2023/03/22 13:05:35;Robert Williams;Michael Miller;
0000000186;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/11/14 17:43:15;2022/11/14 18:28:15;2022/11/14 17:43:15;2022/11/14 19:18:15;William Brown;Emily Wilson;
0000000187;TAP Air Portugal;Airbus A320;200;LIS;MAD;2021/10/03 06:16:19;2021/10/03 07:26:19;2021/10/03 06:46:19;2021/10/03 09:06:19;Jane Williams;Emily Miller;
0000000188;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/07/07 08:43:36;2022/07/07 11:08:36;2022/07/07 09:28:36;2022/07/07 14:18:36;Emily Davis;John Smith;Ground crew efficiently handled the aircraft turnaround.
0000000189;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/07/03 04:45:15;2022/07/03 05:35:15;2022/07/03 05:00:15;2022/07/03 07:00:15;William Miller;John Wilson;We prioritize passenger comfort and safety.
0000000190;Aeroflot;Airbus A320;BHR;SVO;TXL;2023/02/01 14:37:37;2023/02/01 17:52:37;2023/02/01 14:42:37;2023/02/01 21:12:37;William Davis;Emily Davis;
0000000191;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/01/20 05:42:17;2021/01/20 07:12:17;2021/01/20 06:27:17;2021/01/20 09:27:17;Olivia Brown;Sarah Moore;
0000000192;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/06/04 01:01:07;2021/06/04 02:01:07;2021/06/04 01:01:07;2021/06/04 03:31:07;David Smith;John Jones;
0000000193;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/08/16 09:12:48;2021/08/16 11:02:48;2021/08/16 09:12:48;2021/08/16 12:52:48;Jane Moore;Emily Taylor;
0000000194;Ryanair;Boeing 737;189;DUB;TXL;2022/07/19 02:27:36;2022/07/19 04:27:36;2022/07/19 02:32:36;2022/07/19 07:17:36;Jane Davis;Emily Davis;
0000000195;Iberia;Airbus A321;220;MAD;LIS;2023/03/15 08:40:39;2023/03/15 09:55:39;2023/03/15 09:25:39;2023/03/15 11:55:39;Robert Johnson;John Moore;
0000000196;British Airways;Boeing 737;150;LHR;AMS;2021/02/09 15:21:21;2021/02/09 16:31:21;2021/02/09 15:26:21;2021/02/09 18:31:21;Sarah Smith;Emily Johnson;
0000000197;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2023/08/05 14:09:04;2023/08/05 15:09:04;2023/08/05 14:54:04;2023/08/05 17:09:04;Laura Moore;John Taylor;We are experiencing some turbulence, but it's manageable.
0000000198;Aer Lingus;Airbus A320;180;DUB;LIS;2023/05/01 04:37:26;2023/05/01 07:37:26;2023/05/01 04:37:26;2023/05/01 11:07:26;Jane Jones;David Davis;
0000000199;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/04/12 13:22:02;2023/04/12 15:47:02;2023/04/12 13:22:02;2023/04/12 18:12:02;Emily Davis;John Smith;
0000000200;Lufthansa;Boeing 777;300;FRA;MAD;2021/12/13 01:55:46;2021/12/13 04:25:46;2021/12/13 02:00:46;2021/12/13 07:45:46;Emily Davis;Laura Brown;
0000000201;Iberia;Airbus A321;220;MAD;LIS;2022/01/03 17:32:04;2022/01/03 18:47:04;2022/01/03 17:32:04;2022/01/03 20:22:04;Robert Johnson;John Moore;
0000000202;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/09/08 08:40:15;2022/09/08 09:50:15;2022/09/08 09:10:15;2022/09/08 11:50:15;Jane Williams;Emily Miller;Clear skies and good visibility throughout the flight.
0000000203;Lufthansa;Boeing 777;300;FRA;MAD;2022/08/13 05:50:52;2022/08/13 08:20:52;2022/08/13 05:55:52;2022/08/13 10:55:52;Emily Davis;Laura Brown;
0000000204;Transavia;Airbus A320;180;AMS;NCE;2021/12/12 13:19:03;2021/12/12 15:39:03;2021/12/12 13:19:03;2021/12/12 17:59:03;Jane Jones;Jane Jones;
0000000205;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/03/11 01:24:30;2022/03/11 03:14:30;2022/03/11 01:24:30;2022/03/11 05:04:30;Jane Moore;Emily Taylor;
0000000206;Aer Lingus;Airbus A320;180;DUB;lis;2021/02/11 07:19:09;2021/02/11 10:19:09;2021/02/11 07:24:09;2021/02/11 14:09:09;Jane Jones;David Davis;
0000000207;British Airways;Boeing 737;150;LHR;AMS;2021/07/17 12:13:02;2021/07/17 13:23:02;2021/07/17 12:13:02;2021/07/17 14:33:02;Sarah Smith;Emily Johnson;
0000000208;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/08/04 14:49:14;2023/08/04 17:14:14;2023/08/04 15:34:14;2023/08/04 20:24:14;Emily Davis;John Smith;
0000000209;Ryanair;Boeing 737;189;DUB;TXL;2022/02/06 15:26:09;2022/02/06 17:26:09;2022/02/06 15:26:09;2022/02/06 19:26:09;Jane Davis;Emily Davis;
0000000210;Transavia;Airbus A320;180;AMS;NCE;2022/06/20 10:52:11;2022/06/20 13:12:11;2022/06/20 10:52:11;2022/06/20 16:17:11;Jane Jones;Jane Jones;
0000000211;Aeroflot;Airbus A320;250;SVO;TXL;2022/12/08 14:31:18;2022/12/08 17:46:18;2022/12/08 14:51:18;2022/12/08 21:21:18;William Davis;Emily Davis;
0000000212;LOT Polish Airlines;Embraer E190;H;WAW;BUD;2023/06/17 08:35:07;2023/06/17 09:50:07;2023/06/17 08:35:07;2023/06/17 11:25:07;David Johnson;Michael Johnson;
0000000213;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/03/18 11:31:50;2022/03/18 12:21:50;2022/03/18 11:31:50;2022/03/18 13:11:50;William Miller;John Wilson;
0000000214;Turkish Airlines;Airbus A320;200;IST;PRG;2021/09/14 13:15:36;2021/09/14 15:45:36;2021/09/14 14:00:36;2021/09/14 19:00:36;Sarah Taylor;David Smith;We apologize for any inconvenience caused.
0000000215;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/02/01 07:17:05;2023/02/01 08:02:05;2023/02/01 07:17:05;2023/02/01 08:47:05;William Brown;Emily Wilson;
0000000216;Transavia;Airbus A320;180;AMS;NCE;2021/10/05 10:17:47;2021/10/05 12:37:47;2021/10/05 10:32:47;2021/10/05 15:12:47;Jane Jones;Jane Jones;
0000000217;Ryanair;Boeing 737;189;DUB;TXL;2022/05/08 07:36:54;2022/05/08 09:36:54;2022/05/08 07:56:54;2022/05/08 11:56:54;Jane Davis;Emily Davis;
0000000218;EasyJet;Airbus A320;180;LHR;CDG;2023/01/11 01:59:14;2023/01/11 03:14:14;2023/01/11 01:59:14;2023/01/11 04:34:14;Sarah Jones;Jane Smith;
0000000219;Transavia;Airbus A320;180;AMS;NCE;2022/04/10 12:26:04;2022/04/10 14:46:04;2022/04/10 12:31:04;2022/04/10 17:31:04;Jane Jones;Jane Jones;
0000000220;Austrian Airlines;Airbus A321;220;VIE;muC;2021/04/11 17:33:23;2021/04/11 18:23:23;2021/04/11 18:18:23;2021/04/11 19:58:23;William Miller;John Wilson;
0000000221;Lufthansa;Boeing 777;300;FRA;MAD;2023/05/06 01:31:25;2023/05/06 04:01:25;2023/05/06 01:46:25;2023/05/06 07:06:25;Emily Davis;Laura Brown;
0000000222;Ryanair;Boeing 737;189;DUB;BCN;2022/11/03 16:02:29;2022/11/03 18:47:29;2022/11/03 16:02:29;2022/11/03 21:32:29;Laura Wilson;Sarah Davis;
0000000223;EasyJet;Airbus A320;180;LHR;CDG;2021/12/01 05:59:07;2021/12/01 07:14:07;2021/12/01 05:59:07;2021/12/01 08:34:07;Sarah Jones;Jane Smith;
0000000224;British Airways;Boeing 737;150;LHR;AMS;2023/06/19 12:26:02;2023/06/19 13:36:02;2023/06/19 12:26:02;2023/06/19 15:31:02;Sarah Smith;Emily Johnson;
0000000225;Turkish Airlines;Airbus A320;200;IST;PRG;2021/01/22 10:58:11;2021/01/22 13:28:11;2021/01/22 11:18:11;2021/01/22 16:48:11;Sarah Taylor;David Smith;Our fuel consumption is on track with the flight plan.
0000000226;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/02/10 13:37:01;2021/02/10 14:27:01;2021/02/10 13:37:01;2021/02/10 15:22:01;William Miller;John Wilson;
0000000227;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/05/17 01:28:16;2021/05/17 02:28:16;2021/05/17 01:28:16;2021/05/17 03:28:16;Laura Moore;John Taylor;Our airline is proud of its safety record.
0000000228;Aer Lingus;Airbus A320;180;DUB;LIS;2021/07/22 04:52:35;2021/07/22 07:52:35;2021/07/22 05:07:35;2021/07/22 11:52:35;Jane Jones;David Davis;
0000000229;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/02/07 04:28:42;2021/02/07 05:58:42;2021/02/07 04:58:42;2021/02/07 07:58:42;Olivia Brown;Sarah Moore;
0000000230;LOT Polish Airlines;Embraer E190;100;WAW;buD;2021/06/21 14:07:15;2021/06/21 15:22:15;2021/06/21 14:27:15;2021/06/21 17:42:15;David Johnson;Michael Johnson;
0000000231;Ryanair;Boeing 737;189;DUB;BCN;2022/12/14 16:26:05;2022/12/14 19:11:05;2022/12/14 16:26:05;2022/12/14 22:41:05;Laura Wilson;Sarah Davis;
0000000232;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/10/17 10:43:06;2022/10/17 11:58:06;2022/10/17 11:13:06;2022/10/17 13:43:06;David Johnson;Michael Johnson;
0000000233;EasyJet;Airbus A320;180;LHR;CDG;2022/03/08 17:41:53;2022/03/08 18:56:53;2022/03/08 18:26:53;2022/03/08 21:16:53;Sarah Jones;Jane Smith;We're starting our descent into our destination.
0000000234;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2021/07/16 02:03:22;2021/07/16 03:18:22;2021/07/16 02:03:22;2021/07/16 04:33:22;David Johnson;Michael Johnson;
0000000235;Aeroflot;Airbus A320;250;SVO;TXL;2022/09/03 16:06:07;2022/09/03 19:21:07;2022/09/03 16:36:07;2022/09/03 23:06:07;William Davis;Emily Davis;
0000000236;Transavia;Airbus A320;180;AMS;NCE;2022/11/04 10:43:13;2022/11/04 13:03:13;2022/11/04 10:48:13;2022/11/04 15:28:13;Jane Jones;Jane Jones;
0000000237;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2023/01/02 12:01:29;2023/01/02 13:16:29;2023/01/02 12:31:29;2023/01/02 15:01:29;David Johnson;Michael Johnson;
0000000238;Lufthansa;Boeing 777;300;FRA;Athens;2021/10/16 06:46:51;2021/10/16 09:16:51;2021/10/16 06:46:51;2021/10/16 12:31:51;Emily Davis;Laura Brown;
0000000239;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/09/15 03:47:54;2021/09/15 04:37:54;2021/09/15 03:47:54;2021/09/15 05:32:54;William Miller;John Wilson;
0000000240;Lufthansa;Boeing 777;300;FRA;MAD;2021/04/07 05:35:39;2021/04/07 08:05:39;2021/04/07 05:35:39;2021/04/07 10:40:39;Emily Davis;Laura Brown;
0000000241;Jet2.com;Airbus A321;220;MAN;PRG;2021/02/17 01:39:41;2021/02/17 04:09:41;2021/02/17 02:24:41;2021/02/17 07:24:41;Robert Williams;Michael Miller;
0000000242;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/05/11 15:23:53;2021/05/11 17:13:53;2021/05/11 15:53:53;2021/05/11 19:33:53;Jane Moore;Emily Taylor;
0000000243;Transavia;Airbus A320;180;AMS;NCE;2021/09/20 03:06:34;2021/09/20 05:26:34;2021/09/20 03:21:34;2021/09/20 08:21:34;Jane Jones;Jane Jones;
0000000244;Iberia;Airbus A321;220;MAD;LIS;2022/08/02 04:49:41;2022/08/02 06:04:41;2022/08/02 04:49:41;2022/08/02 07:24:41;Robert Johnson;John Moore;
0000000245;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/04/04 12:18:10;2022/04/04 13:28:10;2022/04/04 12:18:10;2022/04/04 14:43:10;Sarah Davis;Michael Brown;
0000000246;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/07/11 01:45:42;2021/07/11 02:45:42;2021/07/11 02:05:42;2021/07/11 04:05:42;David Smith;John Jones;
0000000247;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/05/21 03:00:37;2021/05/21 04:10:37;2021/05/21 03:45:37;2021/05/21 06:10:37;Sarah Davis;Michael Brown;Passengers are enjoying the scenic views outside.
0000000248;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2023/03/07 13:39:44;2023/03/07 14:39:44;2023/03/07 13:59:44;2023/03/07 15:59:44;David Smith;John Jones;
0000000249;Jet2.com;Airbus A321;220;MAN;PRG;2021/04/19 13:03:20;2021/04/19 15:33:20;2021/04/19 13:33:20;2021/04/19 19:18:20;Robert Williams;Michael Miller;
0000000250;Norwegian Air Shuttle;Boeing 737;150;OSL;CpH;2022/04/20 08:46:21;2022/04/20 09:46:21;2022/04/20 09:06:21;2022/04/20 11:21:21;Laura Moore;John Taylor;
0000000251;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/07/21 08:42:59;2021/07/21 10:12:59;2021/07/21 08:42:59;2021/07/21 11:42:59;Olivia Brown;Sarah Moore;
0000000252;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/01/04 13:30:16;2022/01/04 14:30:16;2022/01/04 13:30:16;2022/01/04 15:30:16;David Smith;John Jones;
0000000253;Turkish Airlines;Airbus A320;200;IST;PRG;2023/02/17 07:36:17;2023/02/17 10:06:17;2023/02/17 07:36:17;2023/02/17 12:51:17;Sarah Taylor;David Smith;Cargo loading and unloading is proceeding smoothly.
0000000254;Air France;Airbus A321;220;CDG;FCO;2021/07/05 02:04:51;2021/07/05 03:49:51;2021/07/05 02:04:51;2021/07/05 06:19:51;John Williams;Robert Smith;
0000000255;Scandinavian Airlines (SAS);Boeing 737;AKL;ARN;HEL;2022/11/09 07:56:58;2022/11/09 09:06:58;2022/11/09 08:01:58;2022/11/09 10:36:58;Sarah Davis;Michael Brown;
0000000256;Alitalia;Boeing 767;280;FCO;ATH;2021/04/08 08:49:26;2021/04/08 10:49:26;2021/04/08 08:49:26;2021/04/08 12:49:26;Laura Wilson;Emily Moore;
0000000257;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/06/19 11:28:05;2021/06/19 12:28:05;2021/06/19 11:48:05;2021/06/19 13:48:05;Laura Moore;John Taylor;
0000000258;British Airways;Boeing 737;150;LHR;AMS;2021/01/22 15:53:48;2021/01/22 17:03:48;2021/01/22 15:58:48;2021/01/22 18:18:48;Sarah Smith;Emily Johnson;Our airline is proud of its safety record.
0000000259;Ryanair;Boeing 737;189;DUB;BCN;2021/06/08 03:47:45;2021/06/08 06:32:45;2021/06/08 03:52:45;2021/06/08 09:22:45;Laura Wilson;Sarah Davis;
0000000260;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2022/08/17 17:46:22;2022/08/17 18:46:22;2022/08/17 18:06:22;2022/08/17 20:11:22;Laura Moore;John Taylor;
0000000261;Ryanair;Boeing 737;189;DUB;BCN;2021/03/15 07:30:50;2021/03/15 10:15:50;2021/03/15 07:30:50;2021/03/15 13:05:50;Laura Wilson;Sarah Davis;
0000000262;British Airways;Boeing 737;150;LHR;AMS;2022/02/17 04:56:13;2022/02/17 06:06:13;2022/02/17 05:26:13;2022/02/17 08:06:13;Sarah Smith;Emily Johnson;
0000000263;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/07/15 16:49:23;2022/07/15 17:39:23;2022/07/15 17:04:23;2022/07/15 19:14:23;William Miller;John Wilson;
0000000264;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/10/14 01:14:12;2022/10/14 03:04:12;2022/10/14 01:34:12;2022/10/14 05:29:12;Jane Moore;Emily Taylor;The flight crew is highly experienced and trained.
0000000265;Austrian Airlines;Airbus A321;220;VIE;MuC;2022/02/17 06:37:58;2022/02/17 07:27:58;2022/02/17 07:22:58;2022/02/17 09:32:58;William Miller;John Wilson;
0000000266;Aer Lingus;Airbus A320;180;DUB;LIS;2023/04/02 06:46:11;2023/04/02 09:46:11;2023/04/02 07:01:11;2023/04/02 13:01:11;Jane Jones;David Davis;
0000000267;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/08/15 15:47:49;2021/08/15 16:57:49;2021/08/15 15:47:49;2021/08/15 18:07:49;Sarah Davis;Michael Brown;
0000000268;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/12/03 16:02:31;2022/12/03 16:47:31;2022/12/03 16:47:31;2022/12/03 18:32:31;William Brown;Emily Wilson;
0000000269;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/01/04 10:44:00;2021/01/04 11:54:00;2021/01/04 10:49:00;2021/01/04 13:39:00;Sarah Davis;Michael Brown;
0000000270;Aer Lingus;Airbus A320;180;DUB;LIS;2022/11/12 04:03:16;2022/11/12 07:03:16;2022/11/12 04:03:16;2022/11/12 10:03:16;Jane Jones;David Davis;The weather at our destination looks favorable.
0000000271;Transavia;Airbus A320;180;AMS;NCE;2021/01/08 11:05:37;2021/01/08 13:25:37;2021/01/08 11:10:37;2021/01/08 15:50:37;Jane Jones;Jane Jones;
0000000272;Jet2.com;Airbus A321;220;MAN;prG;2021/03/09 07:06:57;2021/03/09 09:36:57;2021/03/09 07:06:57;2021/03/09 12:26:57;Robert Williams;Michael Miller;The in-flight entertainment system is working flawlessly.
0000000273;Transavia;Airbus A320;180;AMS;NCE;2022/10/19 01:42:41;2022/10/19 04:02:41;2022/10/19 02:02:41;2022/10/19 06:42:41;Jane Jones;Jane Jones;
0000000274;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/05/07 05:20:54;2023/05/07 06:50:54;2023/05/07 05:20:54;2023/05/07 09:05:54;Olivia Brown;Sarah Moore;Passengers are complying with safety regulations.
0000000275;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/08/15 14:00:31;2022/08/15 15:50:31;2022/08/15 14:00:31;2022/08/15 18:25:31;Jane Moore;Emily Taylor;
